-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
1472          126.70         155.42
1536          151.49         152.24
1600          138.96         149.25
1664          123.60         146.44
1728          125.10         143.78
1792          131.09         141.26
1856          128.27         138.87
1920          122.94         136.60
1984          118.71         134.44
2048          119.79         132.39
2112          135.55         130.42
2176          116.54         128.55
2240          121.89         126.75
2304          110.50         125.03
2368          127.32         123.37
2432          114.30         121.79
2496          122.33         120.26
2560          126.90         118.79
2624          114.27         117.37
2688          127.19         116.01
2752          108.57         114.69
2816          126.14         113.41
2880          120.03         112.18
2944          133.14         110.99
3008          277.19         109.84

Session Time: 24 dk


-----------------------S16---------------------

Power Regression: 
17946.38 x^ -0.39  (R^2 = 0.90)

-------------RESULTS----------------
Memory       Measured       Predicted

512           1960.00        1545.94
576           1701.40        1476.00
640           1531.86        1416.13
704           1413.99        1364.07
768           1375.16        1318.21
832           1245.51        1277.39
896           1206.08        1240.72
960           1108.18        1207.53
1024          1144.85        1177.29
1088          1056.87        1149.57
1152          1055.56        1124.03
1216          1017.21        1100.40
1280          977.00         1078.44
1344          927.98         1057.95
1408          976.90         1038.79
1472          883.47         1020.80
1536          985.32         1003.86
1600          852.14         987.89
1664          935.30         972.78
1728          823.82         958.45
1792          890.53         944.85
1856          914.30         931.91
1920          807.82         919.58
1984          857.03         907.80
2048          863.11         896.55
2112          928.66         885.77
2176          838.67         875.44
2240          830.96         865.52
2304          877.99         855.99
2368          877.53         846.82
2432          916.09         837.99
2496          814.79         829.48
2560          864.58         821.27
2624          815.58         813.34
2688          826.42         805.67
2752          864.57         798.25
2816          901.31         791.07
2880          873.17         784.12
2944          857.38         777.37
3008          864.25         770.83

Session Time: 30 dk

-----------------------S17---------------------

Power Regression: 
63300.83 x^ -0.55  (R^2 = 0.87)

-------------RESULTS----------------
Memory       Measured       Predicted

320           4746.59         2628.44
384           3404.96         2376.98
448           2710.86         2183.24
512           2125.12         2028.22
576           1820.88         1900.65
640           1639.72         1793.35
704           1492.31         1701.51
768           1387.88         1621.78
832           1296.16         1551.74
896           1224.44         1489.60
960           1184.53         1433.98
1024          1090.84         1383.83
1088          1030.95         1338.32
1152          1140.54         1296.79
1216          1080.29         1258.69
1280          1058.02         1223.58
1344          994.74          1191.09
1408          955.72          1160.92
1472          1024.33         1132.80
1536          1025.03         1106.52
1600          923.26          1081.89
1664          1020.33         1058.73
1728          929.06          1036.92
1792          966.74          1016.33
1856          865.16          996.85
1920          971.67          978.38
1984          972.12          960.85
2048          963.74          944.17
2112          875.83          928.28
2176          876.05          913.12
2240          871.18          898.64
2304          947.92          884.78
2368          976.11          871.51
2432          861.61          858.79
2496          859.04          846.57
2560          1057.23         834.83
2624          953.02          823.54
2688          962.96          812.67
2752          888.88          802.19
2816          848.86          792.08
2880          945.73          782.32
2944          936.61          772.90
3008          977.45          763.78

Session Time: 34 dk

-----------------------S18---------------------

